ID,URL,Title,Difficulty
1067,https://leetcode.com/problems/digit-count-in-range,Digit Count in Range,Hard
1186,https://leetcode.com/problems/maximum-subarray-sum-with-one-deletion,Maximum Subarray Sum with One Deletion,Medium
1363,https://leetcode.com/problems/largest-multiple-of-three,Largest Multiple of Three,Hard
1493,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element,Longest Subarray of 1's After Deleting One Element,Medium
1621,https://leetcode.com/problems/number-of-sets-of-k-non-overlapping-line-segments,Number of Sets of K Non-Overlapping Line Segments,Medium
1735,https://leetcode.com/problems/count-ways-to-make-array-with-product,Count Ways to Make Array With Product,Hard
1955,https://leetcode.com/problems/count-number-of-special-subsequences,Count Number of Special Subsequences,Hard
1981,https://leetcode.com/problems/minimize-the-difference-between-target-and-chosen-elements,Minimize the Difference Between Target and Chosen Elements,Medium
2054,https://leetcode.com/problems/two-best-non-overlapping-events,Two Best Non-Overlapping Events,Medium
2297,https://leetcode.com/problems/jump-game-viii,Jump Game VIII,Medium
2380,https://leetcode.com/problems/time-needed-to-rearrange-a-binary-string,Time Needed to Rearrange a Binary String,Medium
2501,https://leetcode.com/problems/longest-square-streak-in-an-array,Longest Square Streak in an Array,Medium
2606,https://leetcode.com/problems/find-the-substring-with-maximum-cost,Find the Substring With Maximum Cost,Medium
2638,https://leetcode.com/problems/count-the-number-of-k-free-subsets,Count the Number of K-Free Subsets,Medium
2926,https://leetcode.com/problems/maximum-balanced-subsequence-sum,Maximum Balanced Subsequence Sum,Hard
3032,https://leetcode.com/problems/count-numbers-with-unique-digits-ii,Count Numbers With Unique Digits II,Easy
3640,https://leetcode.com/problems/trionic-array-ii,Trionic Array II,Hard
87,https://leetcode.com/problems/scramble-string,Scramble String,Hard
1000,https://leetcode.com/problems/minimum-cost-to-merge-stones,Minimum Cost to Merge Stones,Hard
1458,https://leetcode.com/problems/max-dot-product-of-two-subsequences,Max Dot Product of Two Subsequences,Hard
2560,https://leetcode.com/problems/house-robber-iv,House Robber IV,Medium
808,https://leetcode.com/problems/soup-servings,Soup Servings,Medium
837,https://leetcode.com/problems/new-21-game,New 21 Game,Medium
1049,https://leetcode.com/problems/last-stone-weight-ii,Last Stone Weight II,Medium
1137,https://leetcode.com/problems/n-th-tribonacci-number,N-th Tribonacci Number,Easy
1335,https://leetcode.com/problems/minimum-difficulty-of-a-job-schedule,Minimum Difficulty of a Job Schedule,Hard
1976,https://leetcode.com/problems/number-of-ways-to-arrive-at-destination,Number of Ways to Arrive at Destination,Medium
2050,https://leetcode.com/problems/parallel-courses-iii,Parallel Courses III,Hard
3201,https://leetcode.com/problems/find-the-maximum-length-of-valid-subsequence-i,Find the Maximum Length of Valid Subsequence I,Medium
3952,https://leetcode.com/problems/maximum-total-value-of-covered-indices,Maximum Total Value of Covered Indices,Medium
3976,https://leetcode.com/problems/maximum-subarray-sum-after-multiplier,Maximum Subarray Sum After Multiplier,Medium
799,https://leetcode.com/problems/champagne-tower,Champagne Tower,Medium
1139,https://leetcode.com/problems/largest-1-bordered-square,Largest 1-Bordered Square,Medium
1326,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,Minimum Number of Taps to Open to Water a Garden,Hard
1749,https://leetcode.com/problems/maximum-absolute-sum-of-any-subarray,Maximum Absolute Sum of Any Subarray,Medium
1751,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended-ii,Maximum Number of Events That Can Be Attended II,Hard
1871,https://leetcode.com/problems/jump-game-vii,Jump Game VII,Medium
1928,https://leetcode.com/problems/minimum-cost-to-reach-destination-in-time,Minimum Cost to Reach Destination in Time,Hard
2977,https://leetcode.com/problems/minimum-cost-to-convert-string-ii,Minimum Cost to Convert String II,Hard
3335,https://leetcode.com/problems/total-characters-in-string-after-transformations-i,Total Characters in String After Transformations I,Medium
3699,https://leetcode.com/problems/number-of-zigzag-arrays-i,Number of ZigZag Arrays I,Hard
309,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,Best Time to Buy and Sell Stock with Cooldown,Medium
377,https://leetcode.com/problems/combination-sum-iv,Combination Sum IV,Medium
413,https://leetcode.com/problems/arithmetic-slices,Arithmetic Slices,Medium
464,https://leetcode.com/problems/can-i-win,Can I Win,Medium
465,https://leetcode.com/problems/optimal-account-balancing,Optimal Account Balancing,Hard
689,https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays,Maximum Sum of 3 Non-Overlapping Subarrays,Hard
714,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee,Best Time to Buy and Sell Stock with Transaction Fee,Medium
718,https://leetcode.com/problems/maximum-length-of-repeated-subarray,Maximum Length of Repeated Subarray,Medium
873,https://leetcode.com/problems/length-of-longest-fibonacci-subsequence,Length of Longest Fibonacci Subsequence,Medium
1025,https://leetcode.com/problems/divisor-game,Divisor Game,Easy
1043,https://leetcode.com/problems/partition-array-for-maximum-sum,Partition Array for Maximum Sum,Medium
1105,https://leetcode.com/problems/filling-bookcase-shelves,Filling Bookcase Shelves,Medium
1140,https://leetcode.com/problems/stone-game-ii,Stone Game II,Medium
1162,https://leetcode.com/problems/as-far-from-land-as-possible,As Far from Land as Possible,Medium
1524,https://leetcode.com/problems/number-of-sub-arrays-with-odd-sum,Number of Sub-arrays With Odd Sum,Medium
1526,https://leetcode.com/problems/minimum-number-of-increments-on-subarrays-to-form-a-target-array,Minimum Number of Increments on Subarrays to Form a Target Array,Hard
2327,https://leetcode.com/problems/number-of-people-aware-of-a-secret,Number of People Aware of a Secret,Medium
2616,https://leetcode.com/problems/minimize-the-maximum-difference-of-pairs,Minimize the Maximum Difference of Pairs,Medium
2787,https://leetcode.com/problems/ways-to-express-an-integer-as-sum-of-powers,Ways to Express an Integer as Sum of Powers,Medium
3186,https://leetcode.com/problems/maximum-total-damage-with-spell-casting,Maximum Total Damage With Spell Casting,Medium
